input: -0.123655, output_cpu: 0.469126, output_gpu: 0.469126
input: -2.415005, output_cpu: 0.082036, output_gpu: 0.082036
input: -2.585130, output_cpu: 0.070102, output_gpu: 0.070102
input: -2.865333, output_cpu: 0.053894, output_gpu: 0.053894
input: -2.587809, output_cpu: 0.069927, output_gpu: 0.069927
input: -1.601662, output_cpu: 0.167749, output_gpu: 0.167749
input: -1.189488, output_cpu: 0.233351, output_gpu: 0.233350
input: -2.288811, output_cpu: 0.092054, output_gpu: 0.092054
input: -1.338755, output_cpu: 0.207715, output_gpu: 0.207715
input: -0.829135, output_cpu: 0.303828, output_gpu: 0.303828
input: -1.052143, output_cpu: 0.258814, output_gpu: 0.258814
input: -3.754355, output_cpu: 0.022880, output_gpu: 0.022880
input: -3.825946, output_cpu: 0.021333, output_gpu: 0.021333
input: -3.757329, output_cpu: 0.022813, output_gpu: 0.022813
input: -5.252450, output_cpu: 0.005207, output_gpu: 0.005207
input: -4.974106, output_cpu: 0.006867, output_gpu: 0.006867
input: -4.946736, output_cpu: 0.007056, output_gpu: 0.007056
input: -3.254205, output_cpu: 0.037176, output_gpu: 0.037176
input: -2.219162, output_cpu: 0.098043, output_gpu: 0.098043
input: -2.253668, output_cpu: 0.095034, output_gpu: 0.095034
input: -2.881741, output_cpu: 0.053064, output_gpu: 0.053064
input: -2.306291, output_cpu: 0.090603, output_gpu: 0.090603
input: -2.129933, output_cpu: 0.106221, output_gpu: 0.106221
input: -2.795349, output_cpu: 0.057576, output_gpu: 0.057576
input: -2.188454, output_cpu: 0.100792, output_gpu: 0.100792
input: -3.205017, output_cpu: 0.038977, output_gpu: 0.038977
input: -4.686960, output_cpu: 0.009131, output_gpu: 0.009131
input: -7.556035, output_cpu: 0.000523, output_gpu: 0.000523
input: -7.711838, output_cpu: 0.000447, output_gpu: 0.000447
input: -8.500861, output_cpu: 0.000203, output_gpu: 0.000203
input: -7.297594, output_cpu: 0.000677, output_gpu: 0.000677
input: -3.941236, output_cpu: 0.019054, output_gpu: 0.019054
input: -1.826410, output_cpu: 0.138667, output_gpu: 0.138667
input: -1.863873, output_cpu: 0.134252, output_gpu: 0.134252
input: -2.766588, output_cpu: 0.059157, output_gpu: 0.059157
input: -1.676906, output_cpu: 0.157506, output_gpu: 0.157506
input: -2.470356, output_cpu: 0.077963, output_gpu: 0.077963
input: -3.359088, output_cpu: 0.033599, output_gpu: 0.033599
input: -4.274168, output_cpu: 0.013732, output_gpu: 0.013732
input: -4.662114, output_cpu: 0.009358, output_gpu: 0.009358
input: -7.845036, output_cpu: 0.000392, output_gpu: 0.000392
input: -8.478142, output_cpu: 0.000208, output_gpu: 0.000208
input: -9.305228, output_cpu: 0.000091, output_gpu: 0.000091
input: -9.517215, output_cpu: 0.000074, output_gpu: 0.000074
input: -7.176668, output_cpu: 0.000764, output_gpu: 0.000764
input: -5.125324, output_cpu: 0.005909, output_gpu: 0.005909
input: -4.335794, output_cpu: 0.012922, output_gpu: 0.012922
input: -5.363575, output_cpu: 0.004662, output_gpu: 0.004662
input: -2.898009, output_cpu: 0.052252, output_gpu: 0.052252
input: -2.860487, output_cpu: 0.054142, output_gpu: 0.054142
input: -4.343726, output_cpu: 0.012822, output_gpu: 0.012822
input: -5.123941, output_cpu: 0.005917, output_gpu: 0.005917
input: -6.005466, output_cpu: 0.002459, output_gpu: 0.002459
input: -10.077755, output_cpu: 0.000042, output_gpu: 0.000042
input: -8.855113, output_cpu: 0.000143, output_gpu: 0.000143
input: -7.332263, output_cpu: 0.000654, output_gpu: 0.000654
input: -8.890551, output_cpu: 0.000138, output_gpu: 0.000138
input: -8.018620, output_cpu: 0.000329, output_gpu: 0.000329
input: -6.313046, output_cpu: 0.001809, output_gpu: 0.001809
input: -4.984945, output_cpu: 0.006794, output_gpu: 0.006794
input: -5.260083, output_cpu: 0.005168, output_gpu: 0.005168
input: -3.465191, output_cpu: 0.030319, output_gpu: 0.030319
input: -3.437395, output_cpu: 0.031147, output_gpu: 0.031147
input: -4.996094, output_cpu: 0.006719, output_gpu: 0.006719
input: -6.113400, output_cpu: 0.002208, output_gpu: 0.002208
input: -8.182628, output_cpu: 0.000279, output_gpu: 0.000279
input: -14.557514, output_cpu: 0.000000, output_gpu: 0.000000
input: -10.058165, output_cpu: 0.000043, output_gpu: 0.000043
input: -4.987652, output_cpu: 0.006775, output_gpu: 0.006775
input: -4.916717, output_cpu: 0.007270, output_gpu: 0.007270
input: -4.677823, output_cpu: 0.009214, output_gpu: 0.009214
input: -3.637754, output_cpu: 0.025637, output_gpu: 0.025637
input: -3.029257, output_cpu: 0.046121, output_gpu: 0.046121
input: -4.589840, output_cpu: 0.010052, output_gpu: 0.010052
input: -3.476291, output_cpu: 0.029994, output_gpu: 0.029994
input: -3.101994, output_cpu: 0.043025, output_gpu: 0.043025
input: -4.493225, output_cpu: 0.011061, output_gpu: 0.011061
input: -4.959002, output_cpu: 0.006971, output_gpu: 0.006971
input: -5.469985, output_cpu: 0.004194, output_gpu: 0.004194
input: -9.081409, output_cpu: 0.000114, output_gpu: 0.000114
input: -5.788283, output_cpu: 0.003054, output_gpu: 0.003054
input: -3.618420, output_cpu: 0.026124, output_gpu: 0.026124
input: -2.629201, output_cpu: 0.067283, output_gpu: 0.067283
input: -2.294493, output_cpu: 0.091580, output_gpu: 0.091580
input: -3.136146, output_cpu: 0.041641, output_gpu: 0.041641
input: -4.471681, output_cpu: 0.011299, output_gpu: 0.011299
input: -4.861086, output_cpu: 0.007683, output_gpu: 0.007683
input: -4.242009, output_cpu: 0.014175, output_gpu: 0.014175
input: -2.820434, output_cpu: 0.056230, output_gpu: 0.056230
input: -3.981342, output_cpu: 0.018319, output_gpu: 0.018319
input: -4.267764, output_cpu: 0.013819, output_gpu: 0.013819
input: -3.942132, output_cpu: 0.019037, output_gpu: 0.019037
input: -3.741304, output_cpu: 0.023173, output_gpu: 0.023173
input: -3.542274, output_cpu: 0.028133, output_gpu: 0.028133
input: -2.992629, output_cpu: 0.047760, output_gpu: 0.047760
input: -2.691686, output_cpu: 0.063466, output_gpu: 0.063466
input: -3.081487, output_cpu: 0.043877, output_gpu: 0.043877
input: -3.056840, output_cpu: 0.044923, output_gpu: 0.044923
input: -3.827473, output_cpu: 0.021301, output_gpu: 0.021301
input: -5.061510, output_cpu: 0.006296, output_gpu: 0.006296
input: -5.776163, output_cpu: 0.003091, output_gpu: 0.003091
input: -3.692021, output_cpu: 0.024316, output_gpu: 0.024316
input: -2.759110, output_cpu: 0.059574, output_gpu: 0.059574
input: -2.496521, output_cpu: 0.076102, output_gpu: 0.076102
input: -3.328852, output_cpu: 0.034595, output_gpu: 0.034595
input: -3.444086, output_cpu: 0.030946, output_gpu: 0.030946
input: -2.825242, output_cpu: 0.055975, output_gpu: 0.055975
input: -2.682926, output_cpu: 0.063988, output_gpu: 0.063988
input: -2.642391, output_cpu: 0.066460, output_gpu: 0.066460
input: -3.332345, output_cpu: 0.034478, output_gpu: 0.034478
input: -3.532617, output_cpu: 0.028398, output_gpu: 0.028398
input: -4.204799, output_cpu: 0.014704, output_gpu: 0.014704
input: -4.585415, output_cpu: 0.010097, output_gpu: 0.010097
input: -4.256475, output_cpu: 0.013974, output_gpu: 0.013974
input: -3.196842, output_cpu: 0.039285, output_gpu: 0.039285
input: -2.555769, output_cpu: 0.072040, output_gpu: 0.072040
input: -3.749755, output_cpu: 0.022983, output_gpu: 0.022983
input: -3.597318, output_cpu: 0.026667, output_gpu: 0.026667
input: -3.465604, output_cpu: 0.030307, output_gpu: 0.030307
input: -2.510102, output_cpu: 0.075153, output_gpu: 0.075153
input: -1.754061, output_cpu: 0.147536, output_gpu: 0.147536
input: -1.113398, output_cpu: 0.247238, output_gpu: 0.247238
input: -1.564294, output_cpu: 0.173031, output_gpu: 0.173031
input: -1.931914, output_cpu: 0.126539, output_gpu: 0.126539
input: -2.354128, output_cpu: 0.086738, output_gpu: 0.086738
input: -3.674183, output_cpu: 0.024742, output_gpu: 0.024742
input: -3.042808, output_cpu: 0.045529, output_gpu: 0.045529
input: -2.913518, output_cpu: 0.051489, output_gpu: 0.051489
input: -5.747341, output_cpu: 0.003181, output_gpu: 0.003181
input: -6.793903, output_cpu: 0.001119, output_gpu: 0.001119
input: -7.019007, output_cpu: 0.000894, output_gpu: 0.000894
input: -6.278678, output_cpu: 0.001872, output_gpu: 0.001872
input: -6.960582, output_cpu: 0.000948, output_gpu: 0.000948
input: -8.450476, output_cpu: 0.000214, output_gpu: 0.000214
input: -8.835899, output_cpu: 0.000145, output_gpu: 0.000145
input: -8.664540, output_cpu: 0.000173, output_gpu: 0.000173
input: -7.536481, output_cpu: 0.000533, output_gpu: 0.000533
input: -7.277562, output_cpu: 0.000690, output_gpu: 0.000690
input: -6.819851, output_cpu: 0.001091, output_gpu: 0.001091
input: -6.360687, output_cpu: 0.001725, output_gpu: 0.001725
input: -5.123364, output_cpu: 0.005921, output_gpu: 0.005921
input: -6.686648, output_cpu: 0.001246, output_gpu: 0.001246
input: -6.787221, output_cpu: 0.001127, output_gpu: 0.001127
input: -6.380198, output_cpu: 0.001692, output_gpu: 0.001692
input: -6.200890, output_cpu: 0.002024, output_gpu: 0.002024
input: -7.206213, output_cpu: 0.000741, output_gpu: 0.000741
input: -8.009517, output_cpu: 0.000332, output_gpu: 0.000332
input: -8.368877, output_cpu: 0.000232, output_gpu: 0.000232
input: -8.366964, output_cpu: 0.000232, output_gpu: 0.000232
input: -7.309844, output_cpu: 0.000668, output_gpu: 0.000668
input: -6.827350, output_cpu: 0.001083, output_gpu: 0.001083
input: -6.729615, output_cpu: 0.001194, output_gpu: 0.001194
input: -6.424183, output_cpu: 0.001619, output_gpu: 0.001619
input: -4.681762, output_cpu: 0.009178, output_gpu: 0.009178
input: -8.365091, output_cpu: 0.000233, output_gpu: 0.000233
input: -8.261530, output_cpu: 0.000258, output_gpu: 0.000258
input: -6.302201, output_cpu: 0.001829, output_gpu: 0.001829
input: -5.469530, output_cpu: 0.004196, output_gpu: 0.004196
input: -6.854560, output_cpu: 0.001054, output_gpu: 0.001054
input: -7.332843, output_cpu: 0.000653, output_gpu: 0.000653
input: -7.240265, output_cpu: 0.000717, output_gpu: 0.000717
input: -8.235355, output_cpu: 0.000265, output_gpu: 0.000265
input: -10.235556, output_cpu: 0.000036, output_gpu: 0.000036
input: -12.469931, output_cpu: 0.000004, output_gpu: 0.000004
input: -10.239268, output_cpu: 0.000036, output_gpu: 0.000036
input: -8.508209, output_cpu: 0.000202, output_gpu: 0.000202
input: -5.512142, output_cpu: 0.004021, output_gpu: 0.004021
input: -10.044632, output_cpu: 0.000043, output_gpu: 0.000043
input: -9.370925, output_cpu: 0.000085, output_gpu: 0.000085
input: -7.708029, output_cpu: 0.000449, output_gpu: 0.000449
input: -6.599143, output_cpu: 0.001360, output_gpu: 0.001360
input: -6.894180, output_cpu: 0.001013, output_gpu: 0.001013
input: -7.446969, output_cpu: 0.000583, output_gpu: 0.000583
input: -7.265351, output_cpu: 0.000699, output_gpu: 0.000699
input: -6.935559, output_cpu: 0.000972, output_gpu: 0.000972
input: -7.111517, output_cpu: 0.000815, output_gpu: 0.000815
input: -11.008876, output_cpu: 0.000017, output_gpu: 0.000017
input: -9.825430, output_cpu: 0.000054, output_gpu: 0.000054
input: -8.088531, output_cpu: 0.000307, output_gpu: 0.000307
input: -6.428517, output_cpu: 0.001612, output_gpu: 0.001612
input: -6.967009, output_cpu: 0.000942, output_gpu: 0.000942
input: -8.098661, output_cpu: 0.000304, output_gpu: 0.000304
input: -7.118387, output_cpu: 0.000809, output_gpu: 0.000809
input: -7.175908, output_cpu: 0.000764, output_gpu: 0.000764
input: -7.458148, output_cpu: 0.000576, output_gpu: 0.000576
input: -7.588006, output_cpu: 0.000506, output_gpu: 0.000506
input: -7.230597, output_cpu: 0.000724, output_gpu: 0.000724
input: -6.885906, output_cpu: 0.001021, output_gpu: 0.001021
input: -7.588779, output_cpu: 0.000506, output_gpu: 0.000506
input: -7.782237, output_cpu: 0.000417, output_gpu: 0.000417
input: -6.311427, output_cpu: 0.001812, output_gpu: 0.001812
input: -6.396940, output_cpu: 0.001664, output_gpu: 0.001664
input: -7.219960, output_cpu: 0.000731, output_gpu: 0.000731
input: -5.313422, output_cpu: 0.004901, output_gpu: 0.004901
input: -7.649743, output_cpu: 0.000476, output_gpu: 0.000476
input: -7.647920, output_cpu: 0.000477, output_gpu: 0.000477
input: -8.659895, output_cpu: 0.000173, output_gpu: 0.000173
input: -9.532836, output_cpu: 0.000072, output_gpu: 0.000072
input: -10.809180, output_cpu: 0.000020, output_gpu: 0.000020
input: -10.975712, output_cpu: 0.000017, output_gpu: 0.000017
input: -9.911769, output_cpu: 0.000050, output_gpu: 0.000050
input: -8.446057, output_cpu: 0.000215, output_gpu: 0.000215
input: -8.417944, output_cpu: 0.000221, output_gpu: 0.000221
input: -7.808213, output_cpu: 0.000406, output_gpu: 0.000406
input: -6.310444, output_cpu: 0.001814, output_gpu: 0.001814
input: -6.092588, output_cpu: 0.002254, output_gpu: 0.002254
input: -5.357742, output_cpu: 0.004689, output_gpu: 0.004689
input: -7.407105, output_cpu: 0.000607, output_gpu: 0.000607
input: -7.819543, output_cpu: 0.000402, output_gpu: 0.000402
input: -9.286293, output_cpu: 0.000093, output_gpu: 0.000093
input: -10.504127, output_cpu: 0.000027, output_gpu: 0.000027
input: -11.957231, output_cpu: 0.000006, output_gpu: 0.000006
input: -12.692793, output_cpu: 0.000003, output_gpu: 0.000003
input: -11.579689, output_cpu: 0.000009, output_gpu: 0.000009
input: -8.837204, output_cpu: 0.000145, output_gpu: 0.000145
input: -7.650793, output_cpu: 0.000475, output_gpu: 0.000475
input: -7.893834, output_cpu: 0.000373, output_gpu: 0.000373
input: -6.435647, output_cpu: 0.001601, output_gpu: 0.001601
input: -5.623349, output_cpu: 0.003600, output_gpu: 0.003600
input: -5.170240, output_cpu: 0.005651, output_gpu: 0.005651
input: -6.339845, output_cpu: 0.001761, output_gpu: 0.001761
input: -7.281519, output_cpu: 0.000688, output_gpu: 0.000688
input: -10.770132, output_cpu: 0.000021, output_gpu: 0.000021
input: -10.151834, output_cpu: 0.000039, output_gpu: 0.000039
input: -9.511192, output_cpu: 0.000074, output_gpu: 0.000074
input: -10.461619, output_cpu: 0.000029, output_gpu: 0.000029
input: -9.315784, output_cpu: 0.000090, output_gpu: 0.000090
input: -7.037587, output_cpu: 0.000877, output_gpu: 0.000877
input: -6.250350, output_cpu: 0.001926, output_gpu: 0.001926
input: -7.074419, output_cpu: 0.000846, output_gpu: 0.000846
input: -7.046111, output_cpu: 0.000870, output_gpu: 0.000870
input: -5.968826, output_cpu: 0.002551, output_gpu: 0.002551
input: -4.858233, output_cpu: 0.007704, output_gpu: 0.007704
input: -6.567148, output_cpu: 0.001404, output_gpu: 0.001404
input: -8.388318, output_cpu: 0.000227, output_gpu: 0.000227
input: -14.878841, output_cpu: 0.000000, output_gpu: 0.000000
input: -11.091751, output_cpu: 0.000015, output_gpu: 0.000015
input: -7.578931, output_cpu: 0.000511, output_gpu: 0.000511
input: -6.105564, output_cpu: 0.002225, output_gpu: 0.002225
input: -5.971112, output_cpu: 0.002545, output_gpu: 0.002545
input: -4.551154, output_cpu: 0.010445, output_gpu: 0.010445
input: -4.656874, output_cpu: 0.009407, output_gpu: 0.009407
input: -6.142939, output_cpu: 0.002144, output_gpu: 0.002144
input: -6.590338, output_cpu: 0.001372, output_gpu: 0.001372
input: -5.659195, output_cpu: 0.003473, output_gpu: 0.003473
input: -4.958657, output_cpu: 0.006973, output_gpu: 0.006973
input: -6.175337, output_cpu: 0.002076, output_gpu: 0.002076
input: -6.268371, output_cpu: 0.001892, output_gpu: 0.001892
input: -10.714144, output_cpu: 0.000022, output_gpu: 0.000022
input: -7.406785, output_cpu: 0.000607, output_gpu: 0.000607
input: -5.035247, output_cpu: 0.006463, output_gpu: 0.006463
input: -3.853973, output_cpu: 0.020755, output_gpu: 0.020755
input: -3.739581, output_cpu: 0.023212, output_gpu: 0.023212
input: -3.723525, output_cpu: 0.023579, output_gpu: 0.023579
input: -5.592016, output_cpu: 0.003714, output_gpu: 0.003714
input: -6.221242, output_cpu: 0.001983, output_gpu: 0.001983
input: -7.109090, output_cpu: 0.000817, output_gpu: 0.000817
input: -5.637163, output_cpu: 0.003550, output_gpu: 0.003550
input: -4.326782, output_cpu: 0.013038, output_gpu: 0.013038
input: -5.215661, output_cpu: 0.005402, output_gpu: 0.005402
input: -4.227884, output_cpu: 0.014374, output_gpu: 0.014374
input: -5.716041, output_cpu: 0.003282, output_gpu: 0.003282
input: -5.284444, output_cpu: 0.005044, output_gpu: 0.005044
input: -4.954471, output_cpu: 0.007002, output_gpu: 0.007002
input: -4.400756, output_cpu: 0.012119, output_gpu: 0.012119
input: -4.697727, output_cpu: 0.009034, output_gpu: 0.009034
input: -4.714849, output_cpu: 0.008882, output_gpu: 0.008882
input: -5.057347, output_cpu: 0.006322, output_gpu: 0.006322
input: -5.493390, output_cpu: 0.004097, output_gpu: 0.004097
input: -7.402575, output_cpu: 0.000609, output_gpu: 0.000609
input: -5.518474, output_cpu: 0.003996, output_gpu: 0.003996
input: -3.049000, output_cpu: 0.045261, output_gpu: 0.045261
input: -3.890147, output_cpu: 0.020033, output_gpu: 0.020033
input: -3.874437, output_cpu: 0.020344, output_gpu: 0.020344
input: -4.721954, output_cpu: 0.008819, output_gpu: 0.008819
input: -4.923089, output_cpu: 0.007224, output_gpu: 0.007224
input: -5.334390, output_cpu: 0.004800, output_gpu: 0.004800
input: -5.019433, output_cpu: 0.006565, output_gpu: 0.006565
input: -4.530212, output_cpu: 0.010663, output_gpu: 0.010663
input: -3.782515, output_cpu: 0.022259, output_gpu: 0.022259
input: -3.863835, output_cpu: 0.020556, output_gpu: 0.020556
input: -3.849253, output_cpu: 0.020852, output_gpu: 0.020852
input: -5.475844, output_cpu: 0.004169, output_gpu: 0.004169
input: -3.869327, output_cpu: 0.020446, output_gpu: 0.020446
input: -2.005760, output_cpu: 0.118600, output_gpu: 0.118600
input: -3.363393, output_cpu: 0.033459, output_gpu: 0.033459
input: -3.895072, output_cpu: 0.019936, output_gpu: 0.019936
input: -4.912431, output_cpu: 0.007301, output_gpu: 0.007301
input: -5.124066, output_cpu: 0.005917, output_gpu: 0.005917
input: -4.997321, output_cpu: 0.006711, output_gpu: 0.006711
input: -4.047824, output_cpu: 0.017161, output_gpu: 0.017161
input: -3.637179, output_cpu: 0.025651, output_gpu: 0.025651
input: -3.273350, output_cpu: 0.036497, output_gpu: 0.036497
input: -3.243806, output_cpu: 0.037550, output_gpu: 0.037550
input: -3.185428, output_cpu: 0.039718, output_gpu: 0.039718
input: -3.195208, output_cpu: 0.039346, output_gpu: 0.039346
input: -2.948695, output_cpu: 0.049798, output_gpu: 0.049798
input: -4.039639, output_cpu: 0.017299, output_gpu: 0.017299
input: -5.131678, output_cpu: 0.005872, output_gpu: 0.005872
input: -4.773530, output_cpu: 0.008380, output_gpu: 0.008380
input: -4.177131, output_cpu: 0.015111, output_gpu: 0.015111
input: -5.346185, output_cpu: 0.004744, output_gpu: 0.004744
input: -6.391644, output_cpu: 0.001673, output_gpu: 0.001673
input: -6.468040, output_cpu: 0.001550, output_gpu: 0.001550
input: -5.510639, output_cpu: 0.004027, output_gpu: 0.004027
input: -4.685396, output_cpu: 0.009145, output_gpu: 0.009145
input: -5.040723, output_cpu: 0.006427, output_gpu: 0.006427
input: -5.714529, output_cpu: 0.003287, output_gpu: 0.003287
input: -5.427394, output_cpu: 0.004375, output_gpu: 0.004375
input: -4.073222, output_cpu: 0.016738, output_gpu: 0.016738
input: -5.271976, output_cpu: 0.005107, output_gpu: 0.005107
input: -7.026972, output_cpu: 0.000887, output_gpu: 0.000887
input: -7.001795, output_cpu: 0.000909, output_gpu: 0.000909
input: -6.151703, output_cpu: 0.002125, output_gpu: 0.002125
input: -6.934004, output_cpu: 0.000973, output_gpu: 0.000973
input: -7.737930, output_cpu: 0.000436, output_gpu: 0.000436
input: -8.804534, output_cpu: 0.000150, output_gpu: 0.000150
input: -8.258524, output_cpu: 0.000259, output_gpu: 0.000259
input: -6.912527, output_cpu: 0.000994, output_gpu: 0.000994
input: -6.478575, output_cpu: 0.001534, output_gpu: 0.001534
input: -7.631392, output_cpu: 0.000485, output_gpu: 0.000485
input: -7.190490, output_cpu: 0.000753, output_gpu: 0.000753
input: -4.234903, output_cpu: 0.014274, output_gpu: 0.014274
input: -7.283762, output_cpu: 0.000686, output_gpu: 0.000686
input: -8.355189, output_cpu: 0.000235, output_gpu: 0.000235
input: -8.102812, output_cpu: 0.000303, output_gpu: 0.000303
input: -7.696728, output_cpu: 0.000454, output_gpu: 0.000454
input: -9.324790, output_cpu: 0.000089, output_gpu: 0.000089
input: -9.375388, output_cpu: 0.000085, output_gpu: 0.000085
input: -8.443027, output_cpu: 0.000215, output_gpu: 0.000215
input: -7.549433, output_cpu: 0.000526, output_gpu: 0.000526
input: -7.778567, output_cpu: 0.000418, output_gpu: 0.000418
input: -11.344199, output_cpu: 0.000012, output_gpu: 0.000012
input: -10.652321, output_cpu: 0.000024, output_gpu: 0.000024
input: -6.925203, output_cpu: 0.000982, output_gpu: 0.000982
input: -4.106100, output_cpu: 0.016205, output_gpu: 0.016205
input: -9.584767, output_cpu: 0.000069, output_gpu: 0.000069
input: -9.901950, output_cpu: 0.000050, output_gpu: 0.000050
input: -9.776222, output_cpu: 0.000057, output_gpu: 0.000057
input: -8.998380, output_cpu: 0.000124, output_gpu: 0.000124
input: -9.675221, output_cpu: 0.000063, output_gpu: 0.000063
input: -9.335454, output_cpu: 0.000088, output_gpu: 0.000088
input: -8.519682, output_cpu: 0.000199, output_gpu: 0.000199
input: -6.984024, output_cpu: 0.000926, output_gpu: 0.000926
input: -5.893791, output_cpu: 0.002749, output_gpu: 0.002749
input: -8.557851, output_cpu: 0.000192, output_gpu: 0.000192
input: -8.197597, output_cpu: 0.000275, output_gpu: 0.000275
input: -6.104189, output_cpu: 0.002229, output_gpu: 0.002229
input: -4.507218, output_cpu: 0.010909, output_gpu: 0.010909
input: -8.006462, output_cpu: 0.000333, output_gpu: 0.000333
input: -9.182585, output_cpu: 0.000103, output_gpu: 0.000103
input: -8.655886, output_cpu: 0.000174, output_gpu: 0.000174
input: -9.111241, output_cpu: 0.000110, output_gpu: 0.000110
input: -10.179539, output_cpu: 0.000038, output_gpu: 0.000038
input: -10.324819, output_cpu: 0.000033, output_gpu: 0.000033
input: -9.745591, output_cpu: 0.000059, output_gpu: 0.000059
input: -8.155951, output_cpu: 0.000287, output_gpu: 0.000287
input: -7.110631, output_cpu: 0.000816, output_gpu: 0.000816
input: -5.960337, output_cpu: 0.002572, output_gpu: 0.002572
input: -5.583140, output_cpu: 0.003747, output_gpu: 0.003747
input: -6.130178, output_cpu: 0.002171, output_gpu: 0.002171
input: -5.223199, output_cpu: 0.005361, output_gpu: 0.005361
input: -6.852285, output_cpu: 0.001056, output_gpu: 0.001056
input: -8.488672, output_cpu: 0.000206, output_gpu: 0.000206
input: -8.249704, output_cpu: 0.000261, output_gpu: 0.000261
input: -9.833713, output_cpu: 0.000054, output_gpu: 0.000054
input: -11.197325, output_cpu: 0.000014, output_gpu: 0.000014
input: -12.805152, output_cpu: 0.000003, output_gpu: 0.000003
input: -13.110953, output_cpu: 0.000002, output_gpu: 0.000002
input: -11.326115, output_cpu: 0.000012, output_gpu: 0.000012
input: -8.353260, output_cpu: 0.000236, output_gpu: 0.000236
input: -7.628632, output_cpu: 0.000486, output_gpu: 0.000486
input: -6.335306, output_cpu: 0.001769, output_gpu: 0.001769
input: -5.191875, output_cpu: 0.005531, output_gpu: 0.005531
input: -4.749409, output_cpu: 0.008583, output_gpu: 0.008583
input: -6.039618, output_cpu: 0.002377, output_gpu: 0.002377
input: -7.973704, output_cpu: 0.000344, output_gpu: 0.000344
input: -8.436867, output_cpu: 0.000217, output_gpu: 0.000217
input: -10.663228, output_cpu: 0.000023, output_gpu: 0.000023
input: -12.467506, output_cpu: 0.000004, output_gpu: 0.000004
input: -15.432033, output_cpu: 0.000000, output_gpu: 0.000000
input: -16.720472, output_cpu: 0.000000, output_gpu: 0.000000
input: -14.831535, output_cpu: 0.000000, output_gpu: 0.000000
input: -9.910757, output_cpu: 0.000050, output_gpu: 0.000050
input: -7.288304, output_cpu: 0.000683, output_gpu: 0.000683
input: -6.664310, output_cpu: 0.001274, output_gpu: 0.001274
input: -5.554067, output_cpu: 0.003857, output_gpu: 0.003857
input: -4.692601, output_cpu: 0.009080, output_gpu: 0.009080
input: -5.945554, output_cpu: 0.002611, output_gpu: 0.002611
input: -7.871161, output_cpu: 0.000381, output_gpu: 0.000381
input: -8.881736, output_cpu: 0.000139, output_gpu: 0.000139
input: -12.662588, output_cpu: 0.000003, output_gpu: 0.000003
input: -13.043802, output_cpu: 0.000002, output_gpu: 0.000002
input: -14.960032, output_cpu: 0.000000, output_gpu: 0.000000
input: -17.553806, output_cpu: 0.000000, output_gpu: 0.000000
input: -15.675882, output_cpu: 0.000000, output_gpu: 0.000000
input: -11.016972, output_cpu: 0.000016, output_gpu: 0.000016
input: -7.120436, output_cpu: 0.000808, output_gpu: 0.000808
input: -6.448951, output_cpu: 0.001580, output_gpu: 0.001580
input: -6.014702, output_cpu: 0.002437, output_gpu: 0.002437
input: -4.691629, output_cpu: 0.009088, output_gpu: 0.009088
input: -5.438254, output_cpu: 0.004328, output_gpu: 0.004328
input: -7.909683, output_cpu: 0.000367, output_gpu: 0.000367
input: -10.713659, output_cpu: 0.000022, output_gpu: 0.000022
input: -17.935518, output_cpu: 0.000000, output_gpu: 0.000000
input: -14.078251, output_cpu: 0.000001, output_gpu: 0.000001
input: -12.066693, output_cpu: 0.000006, output_gpu: 0.000006
input: -12.294702, output_cpu: 0.000005, output_gpu: 0.000005
input: -11.165603, output_cpu: 0.000014, output_gpu: 0.000014
input: -8.185564, output_cpu: 0.000279, output_gpu: 0.000279
input: -5.602566, output_cpu: 0.003675, output_gpu: 0.003675
input: -5.637429, output_cpu: 0.003549, output_gpu: 0.003549
input: -5.721659, output_cpu: 0.003264, output_gpu: 0.003264
input: -4.260927, output_cpu: 0.013913, output_gpu: 0.013913
input: -4.930552, output_cpu: 0.007171, output_gpu: 0.007171
input: -6.607287, output_cpu: 0.001349, output_gpu: 0.001349
input: -9.018499, output_cpu: 0.000121, output_gpu: 0.000121
input: -13.582359, output_cpu: 0.000001, output_gpu: 0.000001
input: -10.993576, output_cpu: 0.000017, output_gpu: 0.000017
input: -7.917125, output_cpu: 0.000364, output_gpu: 0.000364
input: -7.267247, output_cpu: 0.000698, output_gpu: 0.000698
input: -6.710016, output_cpu: 0.001217, output_gpu: 0.001217
input: -6.254694, output_cpu: 0.001918, output_gpu: 0.001918
input: -5.564730, output_cpu: 0.003816, output_gpu: 0.003816
input: -5.602223, output_cpu: 0.003676, output_gpu: 0.003676
input: -6.621341, output_cpu: 0.001330, output_gpu: 0.001330
input: -4.506822, output_cpu: 0.010913, output_gpu: 0.010913
input: -4.709861, output_cpu: 0.008926, output_gpu: 0.008926
input: -6.170876, output_cpu: 0.002085, output_gpu: 0.002085
input: -6.546339, output_cpu: 0.001433, output_gpu: 0.001433
input: -7.515231, output_cpu: 0.000544, output_gpu: 0.000544
input: -6.873385, output_cpu: 0.001034, output_gpu: 0.001034
input: -6.558679, output_cpu: 0.001416, output_gpu: 0.001416
input: -6.754623, output_cpu: 0.001164, output_gpu: 0.001164
input: -7.411510, output_cpu: 0.000604, output_gpu: 0.000604
input: -7.545157, output_cpu: 0.000528, output_gpu: 0.000528
input: -6.830401, output_cpu: 0.001079, output_gpu: 0.001079
